[[FileID]],[[Group]],[[GroupNo]],[[Key]],[[Sequence]],[[English]],[[Japanese]],[[MTrans]],[[メモ]],[[管理用メモ]],[[Version]],98.06%
Terraria.Localization.Content.en-US,Error,1,Error,1,Error,エラー,エラー,,,,1
Terraria.Localization.Content.en-US,Error,1,LaunchFromSteam,2,Please launch the game from your Steam client.,,あなたのSteamクライアントからゲームを起動してください。,,,,
Terraria.Localization.Content.en-US,Error,1,ServerCrash,3,"Server crash: {0}
{1}

Please send crashlog.txt to support@terraria.org",,"サーバーのクラッシュ：{0}
{1}

support@terraria.orgにcrashlog.txtを送ってください",,,,
Terraria.Localization.Content.en-US,Error,1,LoadFailed,4,Load failed!,読み込みに失敗しました！,ロードに失敗しました！,,,,1
Terraria.Localization.Content.en-US,Error,1,LoadFailedNoBackup,5,Load failed!  No backup found.,,ロードに失敗しました！バックアップ見つかりません。,,,,
Terraria.Localization.Content.en-US,Error,1,InvalidLobbyFlag,6,"-lobby flag used without ""{0}"" or ""{1}"". Ignoring it.",,"なしで使用-lobbyフラグ ""{0}"" または ""{1}""。それを無視します。",,,,
Terraria.Localization.Content.en-US,Error,1,CaptureError,7,An error occured while saving the capture. Attempting again...,,キャプチャを保存中にエラーが発生しました。再びしようと...,,,,
Terraria.Localization.Content.en-US,Error,1,UnableToCapture,8,Unable to capture.,,キャプチャすることができません。,,,,
Terraria.Localization.Content.en-US,Error,1,UnableToWritePreferences,9,Unable to write file at: {0},,ファイルを書き込むことができません：{0},,,,
Terraria.Localization.Content.en-US,Error,1,UnableToLoadWorld,10,Unable to load world:,,世界を読み込むことができません。,,,,
Terraria.Localization.Content.en-US,Error,1,BadHeaderBufferOverflow,11,Bad header lead to a read buffer overflow.,,リードバッファオーバーフローに対して悪いヘッダリード。,,,,
Terraria.Localization.Content.en-US,Error,1,ExceptionNormal,12,   Exception normal: {0},,   通常の例外：{0},,,,
Terraria.Localization.Content.en-US,Error,1,TriedToRunServerTwice,13,Tried to run two servers on the same PC,,同じPC上の2台のサーバを実行しようとしました,,,,
Terraria.Localization.Content.en-US,Error,1,DataSentAfterConnectionLost,14,Tried to send data to a client after losing connection,,接続を失った後、クライアントにデータを送信しようとしました,,,,
Terraria.Localization.Content.en-US,Error,1,NetMessageError,15,Error on message {0},,メッセージにエラー{0},,,,
Terraria.Localization.Content.en-US,Key,2,UP,1,UP,,アップ,,,,
Terraria.Localization.Content.en-US,Key,2,DOWN,2,DOWN,,ダウン,,,,
Terraria.Localization.Content.en-US,Language,3,English,1,English,English > 日本語,英語,,,,1
Terraria.Localization.Content.en-US,Language,3,Spanish,2,Español (Spanish),,日本語Español（スペイン語）,,,,
Terraria.Localization.Content.en-US,Language,3,French,3,Français (French),,フランス語（フランス語）,,,,
Terraria.Localization.Content.en-US,Language,3,Italian,4,Italiano (Italian),,イタリア語（イタリア）,,,,
Terraria.Localization.Content.en-US,Language,3,Russian,5,Русский (Russian),,Русский（ロシア語）,,,,
Terraria.Localization.Content.en-US,Language,3,Chinese,6,简体中文 (Simplified Chinese),簡体中文（簡体字中国語）,简体中文（簡体字中国語）,,,,1
Terraria.Localization.Content.en-US,Language,3,Portuguese,7,Português brasileiro (Brazilian Portuguese),,ポルトガル語のブラジレイロ（ブラジルポルトガル語）,,,,
Terraria.Localization.Content.en-US,Language,3,German,8,Deutsch (German),,ドイツ（ドイツ語）,,,,
Terraria.Localization.Content.en-US,Language,3,Polish,9,Polski (Polish),,ポルスキ（ポーランド）,,,,
